Date,Area,Category,Phase
1800-01-01,0.3644,1,0.1822
1800-01-02,0.4321,2,0.2161
1800-01-03,0.4999,2,0.2499
1800-01-04,0.5677,3,0.2838
1800-01-05,0.6354,3,0.3177
1800-01-06,0.7032,3,0.3516
1800-01-07,0.7709,3,0.3855
1800-01-08,0.8387,3,0.4193
1800-01-09,0.9064,4,0.4532
1800-01-10,0.9742,4,0.4871
1800-01-11,0.958,4,0.521
1800-01-12,0.8903,4,0.5549
1800-01-13,0.8225,5,0.5887
1800-01-14,0.7548,5,0.6226
1800-01-15,0.687,5,0.6565
1800-01-16,0.6193,6,0.6904
1800-01-17,0.5515,6,0.7242
1800-01-18,0.4838,6,0.7581
1800-01-19,0.416,7,0.792
1800-01-20,0.3482,7,0.8259
1800-01-21,0.2805,7,0.8598
1800-01-22,0.2127,7,0.8936
1800-01-23,0.145,7,0.9275
1800-01-24,0.0772,0,0.9614
1800-01-25,0.0095,0,0.9953
1800-01-26,0.0582,0,0.0291
1800-01-27,0.1258,1,0.0629
1800-01-28,0.1934,1,0.0967
1800-01-29,0.2611,1,0.1305
1800-01-30,0.3287,1,0.1643
1800-01-31,0.3963,2,0.1982
1800-02-01,0.4639,2,0.232
1800-02-02,0.5316,3,0.2658
1800-02-03,0.5992,3,0.2996
1800-02-04,0.6668,3,0.3334
1800-02-05,0.7344,3,0.3672
1800-02-06,0.8021,3,0.401
1800-02-07,0.8697,3,0.4348
1800-02-08,0.9373,4,0.4687
1800-02-09,0.9951,4,0.5025
1800-02-10,0.9274,4,0.5363
1800-02-11,0.8598,5,0.5701
1800-02-12,0.7922,5,0.6039
1800-02-13,0.7246,5,0.6377
1800-02-14,0.6569,5,0.6715
1800-02-15,0.5893,6,0.7053
1800-02-16,0.5217,6,0.7392
1800-02-17,0.4541,7,0.773
1800-02-18,0.3864,7,0.8068
1800-02-19,0.3188,7,0.8406
1800-02-20,0.2512,7,0.8744
1800-02-21,0.1835,7,0.9082
1800-02-22,0.1159,0,0.942
1800-02-23,0.0483,0,0.9759
1800-02-24,0.0193,0,0.0096
1800-02-25,0.0868,0,0.0434
1800-02-26,0.1543,1,0.0771
1800-02-27,0.2218,1,0.1109
1800-02-28,0.2892,1,0.1446
1800-03-01,0.3567,1,0.1784
1800-03-02,0.4242,2,0.2121
1800-03-03,0.4917,2,0.2459
1800-03-04,0.5592,3,0.2796
1800-03-05,0.6267,3,0.3133
1800-03-06,0.6942,3,0.3471
1800-03-07,0.7617,3,0.3808
1800-03-08,0.8292,3,0.4146
1800-03-09,0.8967,4,0.4483
1800-03-10,0.9642,4,0.4821
1800-03-11,0.9684,4,0.5158
1800-03-12,0.9009,4,0.5496
1800-03-13,0.8334,5,0.5833
1800-03-14,0.7659,5,0.6171
1800-03-15,0.6984,5,0.6508
1800-03-16,0.6309,5,0.6845
1800-03-17,0.5634,6,0.7183
1800-03-18,0.4959,6,0.752
1800-03-19,0.4284,7,0.7858
1800-03-20,0.3609,7,0.8195
1800-03-21,0.2935,7,0.8533
1800-03-22,0.226,7,0.887
1800-03-23,0.1585,7,0.9208
1800-03-24,0.091,0,0.9545
1800-03-25,0.0235,0,0.9883
1800-03-26,0.0439,0,0.022
1800-03-27,0.1113,0,0.0557
1800-03-28,0.1787,1,0.0894
1800-03-29,0.2461,1,0.1231
1800-03-30,0.3135,1,0.1568
1800-03-31,0.3809,2,0.1905
1800-04-01,0.4483,2,0.2242
1800-04-02,0.5157,2,0.2579
1800-04-03,0.5831,3,0.2916
1800-04-04,0.6505,3,0.3253
1800-04-05,0.7179,3,0.359
1800-04-06,0.7853,3,0.3927
1800-04-07,0.8527,3,0.4264
1800-04-08,0.9201,4,0.4601
1800-04-09,0.9875,4,0.4938
1800-04-10,0.9451,4,0.5275
1800-04-11,0.8777,4,0.5612
1800-04-12,0.8103,5,0.5949
1800-04-13,0.7429,5,0.6286
1800-04-14,0.6755,5,0.6623
1800-04-15,0.6081,6,0.696
1800-04-16,0.5407,6,0.7297
1800-04-17,0.4733,7,0.7634
1800-04-18,0.4059,7,0.7971
1800-04-19,0.3385,7,0.8308
1800-04-20,0.2711,7,0.8645
1800-04-21,0.2037,7,0.8982
1800-04-22,0.1363,7,0.9319
1800-04-23,0.0689,0,0.9656
1800-04-24,0.0015,0,0.9993
1800-04-25,0.0659,0,0.033
1800-04-26,0.1334,1,0.0667
1800-04-27,0.2008,1,0.1004
1800-04-28,0.2682,1,0.1341
1800-04-29,0.3356,1,0.1678
1800-04-30,0.403,2,0.2015
1800-05-01,0.4704,2,0.2352
1800-05-02,0.5378,3,0.2689
1800-05-03,0.6052,3,0.3026
1800-05-04,0.6726,3,0.3363
1800-05-05,0.74,3,0.37
1800-05-06,0.8074,3,0.4037
1800-05-07,0.8748,3,0.4374
1800-05-08,0.9422,4,0.4711
1800-05-09,0.9904,4,0.5048
1800-05-10,0.923,4,0.5385
1800-05-11,0.8556,5,0.5722
1800-05-12,0.7882,5,0.6059
1800-05-13,0.7208,5,0.6396
1800-05-14,0.6534,5,0.6733
1800-05-15,0.586,6,0.707
1800-05-16,0.5186,6,0.7407
1800-05-17,0.4512,7,0.7744
1800-05-18,0.3838,7,0.8081
1800-05-19,0.3164,7,0.8418
1800-05-20,0.249,7,0.8755
1800-05-21,0.1816,7,0.9092
1800-05-22,0.1142,0,0.9429
1800-05-23,0.0468,0,0.9766
1800-05-24,0.0206,0,0.0103
1800-05-25,0.0881,0,0.044
1800-05-26,0.1556,1,0.0778
1800-05-27,0.2231,1,0.1115
1800-05-28,0.2905,1,0.1453
1800-05-29,0.358,1,0.179
1800-05-30,0.4255,2,0.2128
1800-05-31,0.493,2,0.2465
1800-06-01,0.5605,3,0.2802
1800-06-02,0.628,3,0.314
1800-06-03,0.6955,3,0.3477
1800-06-04,0.763,3,0.3815
1800-06-05,0.8304,3,0.4152
1800-06-06,0.8979,4,0.449
1800-06-07,0.9654,4,0.4827
1800-06-08,0.9671,4,0.5165
1800-06-09,0.8996,4,0.5502
1800-06-10,0.8321,5,0.5839
1800-06-11,0.7646,5,0.6177
1800-06-12,0.6971,5,0.6514
1800-06-13,0.6297,5,0.6852
1800-06-14,0.5622,6,0.7189
1800-06-15,0.4947,6,0.7527
1800-06-16,0.4272,7,0.7864
1800-06-17,0.3597,7,0.8202
1800-06-18,0.2922,7,0.8539
1800-06-19,0.2247,7,0.8876
1800-06-20,0.1572,7,0.9214
1800-06-21,0.0897,0,0.9551
1800-06-22,0.0223,0,0.9889
1800-06-23,0.0453,0,0.0227
1800-06-24,0.1129,0,0.0565
1800-06-25,0.1806,1,0.0903
1800-06-26,0.2482,1,0.1241
1800-06-27,0.3158,1,0.1579
1800-06-28,0.3834,2,0.1917
1800-06-29,0.451,2,0.2255
1800-06-30,0.5186,2,0.2593
1800-07-01,0.5863,3,0.2931
1800-07-02,0.6539,3,0.3269
1800-07-03,0.7215,3,0.3608
1800-07-04,0.7891,3,0.3946
